City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Pangnirtung,scattered clouds,66.1451,-65.7125,37.4,52,40,6.91
117,Rio Gallegos,broken clouds,-51.6226,-69.2181,53.65,47,75,6.91
118,Iisalmi,overcast clouds,63.5592,27.1907,44.62,72,100,3.76
119,Arraial Do Cabo,few clouds,-22.9661,-42.0278,78.76,73,20,8.05
120,Kerman,clear sky,30.2832,57.0788,82.26,11,0,6.91
121,Jaguaruana,broken clouds,-4.8339,-37.7811,96.89,26,75,6.55
122,Verkhnyaya Inta,broken clouds,65.9811,60.3094,33.22,82,57,11.12
123,Daru,overcast clouds,-9.0763,143.2092,76.51,90,97,17.56
124,Balikpapan,overcast clouds,-1.2675,116.8289,76.96,84,97,7.4
125,Kruisfontein,overcast clouds,-34.0033,24.7314,58.89,86,88,11.34
126,Lompoc,clear sky,34.6391,-120.4579,76.84,72,2,1.99
127,Ilulissat,few clouds,69.2167,-51.1,22.46,50,12,1.34
128,Bathsheba,few clouds,13.2167,-59.5167,88.41,58,20,8.05
129,La Ronge,broken clouds,55.1001,-105.2842,52.02,76,75,8.05
130,Magalia,overcast clouds,39.8121,-121.5783,63.03,90,94,1.01
131,Port Elizabeth,clear sky,-33.918,25.5701,61.11,82,0,23.02
132,Vaini,light rain,-21.2,-175.2,69.96,94,75,9.22
133,San Patricio,clear sky,28.017,-97.5169,91.02,46,0,2.59
134,New Norfolk,light rain,-42.7826,147.0587,47.91,77,58,7.67
135,Upernavik,scattered clouds,72.7868,-56.1549,26.58,56,27,4.92
136,Pringsewu,broken clouds,-5.3582,104.9744,74.62,93,80,4.79
137,Carnarvon,clear sky,-24.8667,113.6333,64.47,72,0,18.41
138,Plymouth,few clouds,41.8334,-70.8328,73.87,61,22,3.0
139,Ancud,few clouds,-41.8697,-73.8203,56.43,69,12,6.06
140,Elat,clear sky,29.5581,34.9482,94.84,23,0,18.41
141,Inirida,scattered clouds,3.8653,-67.9239,90.84,53,37,1.57
142,Prieska,clear sky,-29.6641,22.7474,68.79,13,0,12.59
143,Kodiak,clear sky,57.79,-152.4072,45.16,69,8,1.25
144,Pevek,overcast clouds,69.7008,170.3133,30.74,74,100,10.42
145,Filingue,clear sky,14.3521,3.3168,99.27,25,0,2.28
146,Mehamn,overcast clouds,71.0357,27.8492,48.38,71,100,12.84
147,Saint-Philippe,broken clouds,-21.3585,55.7679,67.59,67,52,9.71
148,Mayo,clear sky,38.8876,-76.5119,82.08,61,2,4.0
149,Jobabo,scattered clouds,20.9692,-76.2994,90.59,48,32,13.62
150,Port Alfred,overcast clouds,-33.5906,26.891,62.65,85,88,12.41
151,Port Blair,overcast clouds,11.6667,92.75,80.51,83,86,3.56
152,Ketchikan,light rain,55.3422,-131.6461,50.94,96,100,3.49
153,Saskylakh,overcast clouds,71.9167,114.0833,30.06,86,100,4.09
154,Jorochito,clear sky,-18.05,-63.4333,91.13,28,0,14.2
155,Yacuiba,clear sky,-22.038,-63.6797,102.11,18,6,11.36
156,Kodinar,few clouds,20.7903,70.7031,79.79,91,16,10.22
157,Praya,scattered clouds,14.9215,-23.5087,86.54,74,40,11.5
158,Tual,overcast clouds,-5.6667,132.75,79.95,82,99,19.89
159,Rawson,overcast clouds,-43.3002,-65.1023,57.97,38,97,7.14
160,Grand Gaube,overcast clouds,-20.0064,57.6608,72.0,68,92,4.0
161,Ahvaz,clear sky,31.3203,48.6693,98.55,16,0,6.91
162,Moscow,overcast clouds,55.7522,37.6156,45.03,62,100,15.23
163,Butaritari,overcast clouds,3.0707,172.7902,82.87,63,100,15.82
164,Khatanga,snow,71.9667,102.5,31.5,98,100,14.32
165,Coquimbo,overcast clouds,-29.9533,-71.3436,56.93,76,90,6.91
166,Pacific Grove,mist,36.6177,-121.9166,69.42,93,90,1.99
167,Geraldton,clear sky,-28.7667,114.6,53.13,93,0,8.05
168,Praia Da Vitoria,scattered clouds,38.7333,-27.0667,75.45,78,40,10.94
169,Katsuura,overcast clouds,35.1333,140.3,69.91,75,91,15.59
170,Muli,overcast clouds,2.9167,73.5667,83.17,74,99,8.48
171,Ichinoseki,overcast clouds,38.9167,141.1333,59.9,93,89,2.28
172,Sovetskiy,overcast clouds,61.3614,63.5842,35.55,96,100,13.82
173,Saint Austell,few clouds,50.3383,-4.7658,63.09,67,20,16.11
174,Iqaluit,broken clouds,63.7506,-68.5145,37.13,75,75,13.8
175,Villefontaine,broken clouds,45.6125,5.1456,61.56,77,75,5.75
176,Caravelas,few clouds,-17.7125,-39.2481,82.45,54,11,10.45
177,Nantucket,scattered clouds,41.2835,-70.0995,71.62,78,43,24.32
178,Ormara,broken clouds,25.2088,64.6357,81.77,86,75,15.19
179,Beysehir,scattered clouds,37.6773,31.7246,73.56,38,28,9.08
180,Kamalapuram,overcast clouds,14.5833,78.65,87.98,48,100,4.12
181,Avarua,broken clouds,-21.2078,-159.775,73.45,88,75,4.61
182,Grimmen,overcast clouds,54.1121,13.0405,55.76,67,96,11.3
183,Mersing,overcast clouds,2.4312,103.8405,75.11,100,100,3.44
184,Adiake,scattered clouds,5.2863,-3.304,81.99,75,37,8.01
185,Ponta Delgada,broken clouds,37.7333,-25.6667,72.32,56,75,10.36
186,Klaksvik,overcast clouds,62.2266,-6.589,50.92,94,99,9.31
187,Vale Da Amoreira,clear sky,39.0697,-7.6985,75.61,23,0,6.51
188,Liku,overcast clouds,-0.7275,119.8922,74.25,84,94,1.54
189,Tari,few clouds,12.4086,4.4914,90.54,52,14,7.2
190,Sao Filipe,scattered clouds,14.8961,-24.4956,81.97,78,40,11.79
191,Coihaique,scattered clouds,-45.5752,-72.0662,50.61,50,40,6.91
192,Faanui,light rain,-16.4833,-151.75,78.15,75,26,18.16
193,San Cristobal,broken clouds,7.7669,-72.225,82.58,43,71,4.92
194,Santa Cruz,broken clouds,-17.8,-63.1667,92.66,49,75,25.32
195,Opuwo,clear sky,-18.0607,13.84,82.58,16,8,15.93
196,Svetlogorsk,overcast clouds,52.6333,29.7333,50.16,98,100,3.96
197,Obihiro,overcast clouds,42.9172,143.2044,50.63,83,100,3.56
198,Havre-Saint-Pierre,clear sky,50.2334,-63.5986,59.36,51,1,10.36
199,Marsh Harbour,overcast clouds,26.5412,-77.0636,83.57,67,99,6.33
200,Saint George,clear sky,37.1041,-113.5841,79.27,51,0,4.0
201,Ewa Beach,light rain,21.3156,-158.0072,75.09,85,90,4.61
202,Mitchell,scattered clouds,43.7094,-98.0298,83.73,52,47,17.0
203,Puquio,scattered clouds,-14.7,-74.1333,66.88,29,33,10.2
204,Dongsheng,overcast clouds,39.8161,109.9776,56.77,60,96,10.6
205,East London,clear sky,-33.0153,27.9116,63.54,82,0,17.27
206,Araouane,broken clouds,18.9048,-3.5265,106.95,9,65,9.15
207,Komsomolskiy,clear sky,40.4272,71.7189,75.92,33,0,9.22
208,Tiksi,overcast clouds,71.6872,128.8694,34.23,74,99,18.21
209,Soyo,broken clouds,-6.1349,12.3689,80.65,71,51,8.57
210,Dakar,clear sky,14.6937,-17.4441,83.28,83,0,2.3
211,Lafiagi,light rain,8.8667,5.4167,83.68,76,76,1.9
212,Mar Del Plata,broken clouds,-38.0023,-57.5575,60.82,88,75,17.27
213,Ambagarh Chauki,overcast clouds,20.7833,80.7167,76.87,83,92,5.93
214,Sur,scattered clouds,22.5667,59.5289,83.16,71,42,15.28
215,Mangrol,scattered clouds,21.1167,70.1167,80.82,89,39,10.67
216,Victoria,scattered clouds,22.2855,114.1577,86.32,83,50,7.38
217,Vanimo,overcast clouds,-2.6741,141.3028,76.98,86,100,2.48
218,Belaya Gora,overcast clouds,68.5333,146.4167,25.77,76,99,11.1
219,Tarakan,overcast clouds,3.3,117.6333,81.14,76,96,6.71
220,Lagos,scattered clouds,6.5833,3.75,86.32,77,41,6.89
221,Lasa,overcast clouds,46.6166,10.7002,59.02,98,100,3.27
222,Xam Nua,overcast clouds,20.4197,104.0439,66.99,99,100,2.33
223,Korla,clear sky,41.7597,86.1469,76.33,18,0,3.83
224,Bavly,scattered clouds,54.393,53.2602,38.61,66,45,4.09
225,Port Shepstone,broken clouds,-30.7414,30.455,66.81,87,59,19.93
226,Tuatapere,scattered clouds,-46.1333,167.6833,41.83,92,46,6.02
227,Lanxi,clear sky,29.2195,119.477,76.28,91,0,3.62
228,Mount Isa,clear sky,-20.7333,139.5,64.17,45,1,0.0
229,Yellowknife,broken clouds,62.456,-114.3525,41.52,100,75,11.5
230,Padang,overcast clouds,-0.9492,100.3543,77.05,84,100,3.38
231,Camocim,few clouds,-2.9022,-40.8411,87.87,54,20,17.69
232,Pitea,broken clouds,65.3172,21.4794,48.09,81,51,6.08
233,Kropotkin,overcast clouds,45.4375,40.5756,65.28,78,100,10.18
